EURJPY_time,EURJPY_Open,EURJPY_High,EURJPY_Low,EURJPY_Close,EURJPY_Volume
01.05.2012 00:00:00.000,105.836,106.220,105.550,106.211,134445
02.05.2012 00:00:00.000,106.214,106.554,105.138,105.371,178193.1875
03.05.2012 00:00:00.000,105.371,106.133,105.322,105.546,151139.4375
04.05.2012 00:00:00.000,105.546,105.570,104.405,104.456,150692.6875
05.05.2012 00:00:00.000,104.456,104.456,104.456,104.456,0
06.05.2012 00:00:00.000,104.052,104.108,103.251,103.475,24522.3301
07.05.2012 00:00:00.000,103.473,104.456,103.473,104.398,178224.7344
08.05.2012 00:00:00.000,104.395,104.448,103.538,103.801,193022.9844
09.05.2012 00:00:00.000,103.790,103.952,102.768,103.122,220973.7656
10.05.2012 00:00:00.000,103.121,103.785,102.962,103.327,206640.8281
11.05.2012 00:00:00.000,103.327,103.606,102.979,103.248,196533.9844
12.05.2012 00:00:00.000,103.248,103.248,103.248,103.248,0
13.05.2012 00:00:00.000,103.202,103.272,102.999,103.228,21697.2695
14.05.2012 00:00:00.000,103.228,103.382,102.235,102.484,211250.7656
15.05.2012 00:00:00.000,102.484,102.881,102.059,102.289,231142.0625
16.05.2012 00:00:00.000,102.287,102.722,101.921,102.331,254473.4063
17.05.2012 00:00:00.000,102.334,102.396,100.570,100.856,253900.5938
18.05.2012 00:00:00.000,100.856,101.111,100.219,100.998,244284.6563
19.05.2012 00:00:00.000,100.998,100.998,100.998,100.998,0
20.05.2012 00:00:00.000,100.816,101.309,100.800,101.140,23447.1504
21.05.2012 00:00:00.000,101.138,101.777,100.946,101.760,227160.6406
22.05.2012 00:00:00.000,101.759,102.132,101.134,101.315,244699.875
23.05.2012 00:00:00.000,101.314,101.425,99.545,99.810,282577.2813
24.05.2012 00:00:00.000,99.810,100.279,99.371,99.879,262960.4063
25.05.2012 00:00:00.000,99.879,100.339,99.484,99.738,210979.8281
26.05.2012 00:00:00.000,99.738,99.738,99.738,99.738,0
27.05.2012 00:00:00.000,99.734,100.277,99.728,100.047,23493.8301
28.05.2012 00:00:00.000,100.048,100.234,99.516,99.655,159975.0938
29.05.2012 00:00:00.000,99.654,99.951,98.949,99.242,232712.25
30.05.2012 00:00:00.000,99.242,99.309,97.729,97.733,262146.9375
31.05.2012 00:00:00.000,97.733,98.038,96.522,97.120,263254.5938
01.06.2012 00:00:00.000,97.120,97.428,95.607,96.959,258490.9688
02.06.2012 00:00:00.000,96.959,96.959,96.959,96.959,0
03.06.2012 00:00:00.000,96.910,97.253,96.808,96.808,25878.4004
04.06.2012 00:00:00.000,96.809,98.169,96.776,98.165,215109.4844
05.06.2012 00:00:00.000,98.166,98.351,97.054,98.137,232195.9531
06.06.2012 00:00:00.000,98.137,99.873,97.933,99.730,266355.9063
07.06.2012 00:00:00.000,99.729,100.638,99.419,100.182,254786.4375
08.06.2012 00:00:00.000,100.182,100.208,98.552,99.409,242950.8906
09.06.2012 00:00:00.000,99.409,99.409,99.409,99.409,0
10.06.2012 00:00:00.000,100.675,100.932,100.356,100.613,22997.8398
11.06.2012 00:00:00.000,100.612,100.785,98.725,98.973,254465.7031
12.06.2012 00:00:00.000,98.973,99.799,98.782,99.420,251164.0313
13.06.2012 00:00:00.000,99.440,100.109,99.303,99.831,238026.6719
14.06.2012 00:00:00.000,99.828,100.353,99.478,100.294,223120.2969
15.06.2012 00:00:00.000,100.294,100.365,99.091,99.479,217754.7344
16.06.2012 00:00:00.000,99.479,99.479,99.479,99.479,0
17.06.2012 00:00:00.000,100.188,100.869,99.878,100.471,30213.5996
18.06.2012 00:00:00.000,100.471,100.833,99.129,99.553,226865.125
19.06.2012 00:00:00.000,99.553,100.495,99.193,100.254,223450.5
20.06.2012 00:00:00.000,100.253,101.417,99.838,100.742,222095.7656
21.06.2012 00:00:00.000,100.742,101.638,100.392,100.475,246374.0625
22.06.2012 00:00:00.000,100.475,101.240,100.471,101.107,202928.0781
23.06.2012 00:00:00.000,101.107,101.107,101.107,101.107,0
24.06.2012 00:00:00.000,101.052,101.124,100.858,101.030,17992.9902
25.06.2012 00:00:00.000,101.033,101.037,99.170,99.607,200403.7031
26.06.2012 00:00:00.000,99.607,99.897,98.756,99.223,217443.9844
27.06.2012 00:00:00.000,99.223,99.620,99.083,99.361,186730.4531
28.06.2012 00:00:00.000,99.364,99.484,98.338,98.674,211644.2344
29.06.2012 00:00:00.000,98.674,101.404,98.548,101.077,242916.25
30.06.2012 00:00:00.000,101.077,101.077,101.077,101.077,0
01.07.2012 00:00:00.000,101.046,101.325,100.928,101.050,22924.4004
02.07.2012 00:00:00.000,101.051,101.076,99.767,99.963,194272.7969
03.07.2012 00:00:00.000,99.965,100.837,99.933,100.661,177889.625
04.07.2012 00:00:00.000,100.662,100.666,99.805,100.073,150421.4375
05.07.2012 00:00:00.000,100.075,100.352,98.800,98.984,227626.7344
06.07.2012 00:00:00.000,98.985,99.113,97.646,97.778,208182.7344
07.07.2012 00:00:00.000,97.778,97.778,97.778,97.778,0
08.07.2012 00:00:00.000,97.594,97.876,97.494,97.562,26225.0898
09.07.2012 00:00:00.000,97.562,98.144,97.529,98.016,178666.5938
10.07.2012 00:00:00.000,98.017,98.035,97.225,97.265,202424.7656
11.07.2012 00:00:00.000,97.265,97.746,97.008,97.486,208073.0469
12.07.2012 00:00:00.000,97.486,97.882,96.435,96.697,214823.3125
13.07.2012 00:00:00.000,96.697,97.113,96.446,96.976,174916.5156
14.07.2012 00:00:00.000,96.976,96.976,96.976,96.976,0
15.07.2012 00:00:00.000,97.137,97.317,96.953,96.983,18209.5391
16.07.2012 00:00:00.000,96.983,96.996,96.180,96.712,162758.875
17.07.2012 00:00:00.000,96.711,97.386,96.418,97.247,206081.0781
18.07.2012 00:00:00.000,97.246,97.317,96.482,96.752,200504.5
19.07.2012 00:00:00.000,96.752,96.829,96.143,96.680,206353.5
20.07.2012 00:00:00.000,96.680,96.687,95.357,95.428,196266.6406
21.07.2012 00:00:00.000,95.428,95.428,95.428,95.428,0
22.07.2012 00:00:00.000,95.010,95.282,94.891,95.177,22577.9902
23.07.2012 00:00:00.000,95.177,95.238,94.248,94.933,230668.4531
24.07.2012 00:00:00.000,94.930,95.026,94.125,94.235,220817.4531
25.07.2012 00:00:00.000,94.237,95.215,94.148,94.831,225577.4063
26.07.2012 00:00:00.000,94.827,96.439,94.675,96.171,220450.6563
27.07.2012 00:00:00.000,96.170,97.345,95.655,96.695,228102.5469
28.07.2012 00:00:00.000,96.695,96.695,96.695,96.695,0
29.07.2012 00:00:00.000,96.469,96.671,96.431,96.589,9263.4004
30.07.2012 00:00:00.000,96.591,96.632,95.543,95.794,193511.0469
31.07.2012 00:00:00.000,95.794,96.292,95.773,96.051,199849.3438
01.08.2012 00:00:00.000,96.050,96.468,95.712,95.941,178448.125
02.08.2012 00:00:00.000,95.944,97.007,94.929,95.280,188813.3125
03.08.2012 00:00:00.000,95.280,97.406,95.038,97.227,183211.3125
04.08.2012 00:00:00.000,97.227,97.227,97.227,97.227,0
05.08.2012 00:00:00.000,97.193,97.810,97.119,97.706,20350.2109
06.08.2012 00:00:00.000,97.706,97.710,96.704,96.903,153261.2969
07.08.2012 00:00:00.000,96.904,97.824,96.843,97.365,161144.4844
08.08.2012 00:00:00.000,97.367,97.429,96.587,97.027,166279.5469
09.08.2012 00:00:00.000,97.024,97.293,96.338,96.621,177348.7188
10.08.2012 00:00:00.000,96.622,96.708,95.728,96.208,152780.375
11.08.2012 00:00:00.000,96.208,96.208,96.208,96.208,0
12.08.2012 00:00:00.000,96.187,96.238,96.021,96.068,12841.5498
13.08.2012 00:00:00.000,96.069,96.920,95.952,96.574,135987.4375
14.08.2012 00:00:00.000,96.574,97.476,96.555,97.158,160872.0469
15.08.2012 00:00:00.000,97.158,97.435,96.540,97.101,145126.1563
16.08.2012 00:00:00.000,97.101,98.190,97.087,97.959,165731.6875
17.08.2012 00:00:00.000,97.962,98.415,97.728,98.107,145220.9844
18.08.2012 00:00:00.000,98.107,98.107,98.107,98.107,0
19.08.2012 00:00:00.000,98.097,98.311,98.014,98.082,14796.877
20.08.2012 00:00:00.000,98.084,98.364,97.742,98.010,135456.75
21.08.2012 00:00:00.000,98.010,99.191,97.969,98.889,171766.2656
22.08.2012 00:00:00.000,98.889,99.029,98.105,98.457,173464.4531
