Gmt time,Open,High,Low,Close,Volume
22.08.2005 00:00:00.000,243.230,244.950,243.230,244.280,3260.438
23.08.2005 00:00:00.000,244.410,246.140,244.410,245.090,5319.6621
24.08.2005 00:00:00.000,245.110,245.730,245.110,245.110,2659.8311
25.08.2005 00:00:00.000,245.250,246.200,245.250,245.070,2488.229
26.08.2005 00:00:00.000,245.200,245.820,245.200,245.010,4032.647
27.08.2005 00:00:00.000,245.010,245.010,245.010,245.010,0
28.08.2005 00:00:00.000,245.010,245.010,245.010,245.010,0
29.08.2005 00:00:00.000,244.980,245.810,244.980,245.010,4375.8511
30.08.2005 00:00:00.000,245.230,245.610,244.050,244.400,3946.8459
31.08.2005 00:00:00.000,244.580,245.060,244.050,243.550,3989.7466
01.09.2005 00:00:00.000,243.690,244.030,243.690,243.170,2659.8311
02.09.2005 00:00:00.000,243.240,243.850,243.240,242.920,2788.5325
03.09.2005 00:00:00.000,242.920,242.920,242.920,242.920,0
04.09.2005 00:00:00.000,242.920,242.920,242.920,242.920,0
05.09.2005 00:00:00.000,243.010,243.890,243.010,243.310,2230.8259
06.09.2005 00:00:00.000,243.360,244.240,243.360,243.240,3517.8411
07.09.2005 00:00:00.000,243.380,244.290,243.380,243.420,4933.5576
08.09.2005 00:00:00.000,243.650,244.580,243.650,244.060,4075.5476
09.09.2005 00:00:00.000,243.960,244.780,243.960,243.800,3646.5425
10.09.2005 00:00:00.000,243.800,243.800,243.800,243.800,0
11.09.2005 00:00:00.000,243.800,243.800,243.800,243.800,0
12.09.2005 00:00:00.000,244.000,244.690,244.000,244.210,5276.7617
13.09.2005 00:00:00.000,244.300,245.620,244.300,245.150,1544.418
14.09.2005 00:00:00.000,245.200,245.960,245.190,244.790,2402.428
15.09.2005 00:00:00.000,244.940,245.420,244.790,244.530,2273.7266
16.09.2005 00:00:00.000,244.550,245.760,244.550,245.350,2574.03
17.09.2005 00:00:00.000,245.350,245.350,245.350,245.350,0
18.09.2005 00:00:00.000,245.350,245.350,245.350,245.350,0
19.09.2005 00:00:00.000,245.750,246.550,245.720,245.960,2316.627
20.09.2005 00:00:00.000,245.610,246.270,245.610,245.950,3560.7415
21.09.2005 00:00:00.000,245.960,246.760,245.960,246.500,5619.9653
22.09.2005 00:00:00.000,246.510,248.530,246.480,248.480,5233.8608
23.09.2005 00:00:00.000,248.460,248.520,247.880,248.000,2273.7266
24.09.2005 00:00:00.000,248.000,248.000,248.000,248.000,0
25.09.2005 00:00:00.000,248.000,248.000,248.000,248.000,0
